,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
E007  Dayananda Sagar College of Engineering  Bangalore,ME Mechanical,38989,--,77910,50107,92105,72923,42669,--,131913,35764,--,78235,39671,77926,79586,31594,39596,65111,89159,126859,131406,47446,--,180024
E007  Dayananda Sagar College of Engineering  Bangalore,RI Robotics and AI,12588,--,--,16945,--,19619,22731,--,--,11731,--,--,14634,--,--,9578,28094,14527,51905,--,71271,15040,--,--
E008  Bangalore Institute of Technology  Bangalore,AI ArtificialIntelligence,8848,--,--,8299,--,10950,9561,--,--,5301,23188,--,5051,--,--,4253,10062,8398,28180,--,41881,38112,--,--
E008  Bangalore Institute of Technology  Bangalore,CE Civil,67481,--,--,81201,97141,114544,69427,--,150931,58928,129133,102468,70792,134674,111825,57600,92394,73980,78699,105927,107892,77689,--,188475
E008  Bangalore Institute of Technology  Bangalore,CS Computers,5114,--,8067,3694,9359,4779,5609,--,8331,3187,--,6459,2922,--,5690,2303,6587,4526,16165,22429,22287,9870,34475,25430
E008  Bangalore Institute of Technology  Bangalore,DS Comp. Sc. Engg-Data Sc.,10587,21889,14390,8826,29963,12911,10482,--,42229,6187,--,--,8164,--,--,5469,19877,9088,27545,--,43880,15551,--,37754
E008  Bangalore Institute of Technology  Bangalore,EC Electronics,11542,--,20272,10481,18959,13819,17279,--,--,7410,--,13145,7240,--,11911,6563,16749,11334,34688,49664,35451,16899,--,26134
E008  Bangalore Institute of Technology  Bangalore,EE Electrical,26450,--,58018,21626,--,32051,31252,--,--,18313,--,35610,19133,--,--,17958,20851,21069,35818,132952,48763,45016,51160,--
E008  Bangalore Institute of Technology  Bangalore,EI Elec. Inst.Engg,26214,--,--,34090,--,63242,31629,--,--,28681,--,57609,29680,--,66181,25109,38852,35713,91377,159173,141317,122389,134793,--
E008  Bangalore Institute of Technology  Bangalore,ET Elec.Telecommn. Engg.,25127,--,--,26252,--,44454,28504,153865,48248,21125,--,35261,20006,--,--,15905,49460,28725,64211,--,141439,116492,--,--
E008  Bangalore Institute of Technology  Bangalore,EV EC  Engg(VLSIDesign),24727,--,139392,26227,--,--,40387,--,149701,23858,39112,30476,22886,--,--,18938,--,23103,89059,--,172957,57189,--,--
E008  Bangalore Institute of Technology  Bangalore,"IC CS-IoT, CyberSecurity",10560,--,--,13104,--,17524,14890,--,--,11276,--,--,10879,26085,--,8997,--,12764,62526,--,65179,57851,--,--
E008  Bangalore Institute of Technology  Bangalore,IE Info.Science,5590,--,--,5917,12973,8897,6926,--,17580,3885,16753,--,4510,12328,8643,3743,8086,7026,20238,57533,28148,10964,--,21300
E008  Bangalore Institute of Technology  Bangalore,ME Mechanical,57321,--,115460,76291,103002,89030,68357,--,--,57794,--,108695,58415,113649,100706,51301,78324,85541,125898,--,146767,90775,--,191446
E008  Bangalore Institute of Technology  Bangalore,RI Robotics and AI,17769,--,44362,15001,--,20970,18034,--,172365,12115,--,15472,12909,--,--,11595,25644,14903,51071,136317,65641,36160,--,--
E009  P E S University (Ring Road Campus)  Bangalore,AM B Tech in AM,4797,--,5975,4802,10297,7012,7184,67515,10654,1991,--,5468,2367,9961,4882,1559,9398,4839,27512,30385,46222,31358,33425,36739
E009  P E S University (Ring Road Campus)  Bangalore,AR Architecture,196,--,--,149,--,--,--,--,--,99,--,--,--,--,--,60,--,429,--,--,--,--,--,--
